,COUNTRY,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Deaths - cumulative total,Deaths - cumulative total per 100000 population,TOTAL_VACCINATIONS,TOTAL_VACCINATIONS_PER100,VACCINES_USED,NUMBER_VACCINES_TYPES_USED
0,Afghanistan,Eastern Mediterranean,181236,465.563,7710,19.806,6171652,15.854,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",11.0
1,Albania,Europe,276821,9619.188,3497,121.516,2873654,99.9,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",5.0
2,Algeria,Africa,265937,606.455,6875,15.678,15205854,34.676,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,SII - Covishield,Sinovac - CoronaVac",4.0
3,American Samoa,Western Pacific,6270,11359.313,31,56.162,108220,196.061,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",3.0
4,Andorra,Europe,43224,55942.535,153,198.02,153072,198.1,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",3.0
5,Angola,Africa,99761,303.536,1900,5.781,19486927,59.292,SII - Covishield,1.0
6,Anguilla,Americas,3374,22490.335,9,59.992,23601,157.319,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",2.0
7,Antigua and Barbuda,Americas,8531,8711.413,140,142.961,135715,138.585,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",6.0
8,Argentina,Americas,9313453,20606.911,128994,285.412,102986910,227.868,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",7.0
9,Armenia,Europe,423044,14276.429,8625,291.067,2150112,72.6,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",8.0
10,Aruba,Americas,39339,36846.0,219,205.121,171243,160.391,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",2.0
11,Australia,Western Pacific,7583518,29739.422,8957,35.126,59172637,232.051,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",5.0
12,Austria,Europe,4335007,48702.121,19975,224.411,18360721,206.3,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",6.0
13,Azerbaijan,Europe,792903,7820.192,9715,95.816,13594097,134.1,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",5.0
14,Bahamas,Americas,35351,8989.584,812,206.488,340866,86.681,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",4.0
15,Bahrain,Eastern Mediterranean,598552,35176.351,1490,87.566,3444799,202.448,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",11.0
